timestamp,optimization_step,loss_critic,loss_actor,loss_temperature,loss_discrete_critic,temperature,critic_grad_norm,actor_grad_norm,temperature_grad_norm,discrete_critic_grad_norm,replay_buffer_size,offline_replay_buffer_size,optimization_freq_hz,q_mean,q_std,q_min,q_max,entropy_term,q_target_mean,q_target_std,td_error_mean,td_error_std,td_error_max,critic_disagreement,policy_entropy_raw,policy_log_prob_mean,actor_loss_q_term,actor_loss_entropy_term,step_time_ms,gpu_mem_current_mb,gpu_mem_peak_mb
0.5,0,21.5075,4.4872,-0.0000,,1.0003,31.5231,20.0842,0.2912,,0,1630,1.86,-0.3360,0.2035,-0.8926,0.1486,3.8451,-3.9294,2.3778,3.9896,2.3524,12.2325,0.2946,-3.7912,3.7912,0.6960,3.7912,538.07,29.6,216.5
1.1,10,1.6359,5.4033,-0.0017,,0.9981,1.4747,7.4981,1.0766,,2560,1630,18.99,-2.8669,0.1677,-3.4949,-2.3492,2.4403,-2.4666,1.2569,0.9898,0.7701,3.8142,0.2682,-2.4234,2.4234,2.9837,2.4195,52.65,29.6,241.4
1.6,20,1.5260,5.2402,-0.0069,,0.9950,5.0325,5.2004,1.4653,,5120,1630,19.18,-3.2530,0.1157,-3.6573,-2.9634,2.0550,-2.4087,1.0654,0.9838,0.7290,3.1923,0.1783,-2.0347,2.0347,3.2151,2.0252,52.14,29.6,241.4
2.1,30,1.0264,4.5337,-0.0132,,0.9917,1.5940,4.5954,1.6465,,7680,1630,19.15,-2.7446,0.1006,-3.0124,-2.4622,1.8538,-2.3635,0.9959,0.7396,0.6761,3.0112,0.1618,-1.8535,1.8535,2.6950,1.8387,52.21,29.6,241.4
2.6,40,0.9070,4.3042,-0.0179,,0.9884,2.3279,4.5975,1.5763,,10240,1630,19.19,-2.4099,0.1079,-2.7249,-2.1452,1.9095,-2.4970,0.9028,0.7250,0.6022,3.3727,0.1472,-1.9237,1.9237,2.4023,1.9019,52.10,29.6,241.4
3.2,50,0.6703,4.4120,-0.0239,,0.9850,1.5321,4.0722,1.6201,,12800,1630,18.96,-2.5395,0.1059,-2.8499,-2.2172,1.8605,-2.5381,0.7959,0.5960,0.5472,2.4885,0.1360,-1.8799,1.8799,2.5597,1.8523,52.75,29.6,241.4
3.7,60,0.8305,4.5491,-0.0306,,0.9817,0.5499,4.1518,1.6873,,15360,1630,19.11,-2.7553,0.1108,-3.0259,-2.4759,1.7873,-2.5965,0.9017,0.6233,0.6538,3.5452,0.1314,-1.8127,1.8127,2.7690,1.7801,52.32,29.6,241.4
4.2,70,0.9628,4.6579,-0.0357,,0.9784,0.7680,3.7832,1.6593,,17920,1630,19.48,-2.8579,0.1010,-3.1430,-2.6218,1.8008,-2.6244,0.9756,0.6525,0.7246,3.7163,0.1233,-1.8407,1.8407,2.8564,1.8015,51.35,29.6,241.4
4.7,80,0.6079,4.5486,-0.0449,,0.9751,0.6351,3.5013,1.8053,,20480,1630,18.43,-2.8915,0.1042,-3.2311,-2.5735,1.6586,-2.7962,0.7775,0.5263,0.5649,3.7656,0.1199,-1.6947,1.6947,2.8955,1.6531,54.25,29.6,241.4
5.2,90,0.5949,4.6411,-0.0505,,0.9719,0.7290,3.1444,1.7902,,23040,1630,19.03,-2.9701,0.0953,-3.3016,-2.6366,1.6738,-2.8909,0.7626,0.5360,0.5441,3.0158,0.1166,-1.7098,1.7098,2.9789,1.6622,52.54,29.6,241.4
5.8,100,0.9087,4.7450,-0.0558,,0.9687,0.4649,3.5374,1.7735,,25600,1630,19.84,-3.0634,0.0913,-3.3055,-2.8471,1.6764,-2.9330,0.9526,0.6071,0.7281,4.0183,0.1154,-1.7265,1.7265,3.0720,1.6730,50.41,29.6,241.4
6.3,110,0.8016,4.8516,-0.0611,,0.9655,0.5299,3.3303,1.7570,,28160,1630,19.42,-3.1579,0.0853,-3.4257,-2.9468,1.6969,-3.0484,0.8870,0.5844,0.6706,3.1882,0.1149,-1.7430,1.7430,3.1681,1.6835,51.50,29.6,241.4
6.8,120,0.7119,4.9233,-0.0678,,0.9624,0.7524,3.5735,1.7832,,30720,1630,17.81,-3.2575,0.0929,-3.5135,-3.0257,1.6522,-3.1893,0.8403,0.5486,0.6333,3.2478,0.1114,-1.7168,1.7168,3.2705,1.6527,56.16,29.6,241.4
